label,rep,size_bytes,size_label,transport,batch,n_requested,n_samples,leader,wall_ms,us_per_command,busy_retries,term,mean_us,p50_us,p99_us
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,Total,786.8,732.7,1127.9
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,LHandler,5.1,3.3,27.5
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,LPersist,131.8,120.1,250.2
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,AENet,77.6,61.8,199.0
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,FHandler,5.5,3.6,34.6
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,ReplNet,189.4,171.5,349.9
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,StorageIO,148.3,146.4,207.3
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,QuorumWait,207.4,202.3,382.4
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,Mutex,1.4,0.7,15.9
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,CommitWait,566.7,519.1,809.2
unnamed,1,1024,1K,rdma,1,10000,10000,10.0.0.6:6001,9176.89,917.7,0,residual,21.6,20.0,66.2
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,Total,738.9,709.0,1104.0
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,LHandler,6.9,3.1,29.3
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,LPersist,115.5,102.4,235.7
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,AENet,76.4,60.4,196.9
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,FHandler,5.7,3.5,34.7
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,ReplNet,163.8,155.8,319.5
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,StorageIO,143.0,139.8,205.3
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,QuorumWait,200.2,198.9,356.6
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,Mutex,2.2,0.7,13.5
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,CommitWait,532.1,512.3,800.6
unnamed,1,2048,2K,rdma,1,10000,10000,10.0.0.6:6001,8760.39,876.0,0,residual,27.3,19.9,56.3
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,Total,835.1,759.2,1164.2
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,LHandler,10.4,8.1,28.7
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,LPersist,150.9,134.7,272.6
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,AENet,89.2,65.4,206.2
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,FHandler,6.1,3.6,34.4
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,ReplNet,184.3,170.5,333.8
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,StorageIO,159.9,156.7,231.9
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,QuorumWait,205.7,197.2,362.1
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,Mutex,1.4,0.8,11.1
unnamed,1,4096,4K,rdma,1,10000,10000,10.0.0.6:6001,9406.54,940.7,0,CommitWait,584.5,521.0,794.9
