size_bytes,n_samples,term,mean_us,p50_us,p99_us,wall_ms,busy_retries
1024,10000,Total,678.1,713.7,1095.4,7491.42,0
1024,10000,LHandler,4.6,2.9,23.2,7491.42,0
1024,10000,LPersist,103.5,97.3,233.3,7491.42,0
1024,10000,AENet,62.8,55.1,192.9,7491.42,0
1024,10000,FHandler,4.1,2.9,21.8,7491.42,0
1024,10000,ReplNet,129.5,127.5,263.3,7491.42,0
1024,10000,StorageIO,132.9,131.9,183.0,7491.42,0
1024,10000,QuorumWait,220.9,228.4,408.2,7491.42,0
1024,10000,Mutex,1.7,0.9,20.4,7491.42,0
1024,10000,CommitWait,485.4,505.0,759.5,7491.42,0
1024,10000,residual,19.8,21.6,37.6,7491.42,0
2048,10000,Total,744.7,747.4,1146.3,8272.84,0
2048,10000,LHandler,7.2,3.2,32.5,8272.84,0
2048,10000,LPersist,122.9,109.5,258.8,8272.84,0
2048,10000,AENet,60.9,54.5,188.5,8272.84,0
2048,10000,FHandler,3.7,2.7,18.7,8272.84,0
2048,10000,ReplNet,145.9,140.8,289.5,8272.84,0
2048,10000,StorageIO,143.3,140.7,204.5,8272.84,0
2048,10000,QuorumWait,237.8,244.7,422.1,8272.84,0
2048,10000,Mutex,4.3,0.9,20.2,8272.84,0
2048,10000,CommitWait,524.3,531.1,793.2,8272.84,0
2048,10000,residual,23.0,23.4,42.5,8272.84,0
4096,10000,Total,926.9,874.1,1298.3,10930.77,0
4096,10000,LHandler,17.2,14.0,44.8,10930.77,0
4096,10000,LPersist,183.5,173.5,338.4,10930.77,0
4096,10000,AENet,91.1,71.0,212.7,10930.77,0
4096,10000,FHandler,4.8,3.0,25.8,10930.77,0
4096,10000,ReplNet,199.6,185.6,319.7,10930.77,0
4096,10000,StorageIO,146.4,143.4,213.5,10930.77,0
4096,10000,QuorumWait,261.7,253.4,464.5,10930.77,0
4096,10000,Mutex,2.5,1.1,20.7,10930.77,0
4096,10000,CommitWait,624.3,540.5,852.9,10930.77,0
4096,10000,residual,22.7,21.4,55.0,10930.77,0
8192,10000,Total,854.3,771.7,1287.3,9963.02,0
8192,10000,LHandler,11.9,5.3,49.9,9963.02,0
8192,10000,LPersist,180.2,165.8,332.1,9963.02,0
8192,10000,AENet,89.5,71.2,191.9,9963.02,0
8192,10000,FHandler,5.2,3.6,26.7,9963.02,0
8192,10000,ReplNet,162.9,147.9,326.7,9963.02,0
8192,10000,StorageIO,151.3,148.8,234.4,9963.02,0
8192,10000,QuorumWait,231.8,205.6,464.8,9963.02,0
8192,10000,Mutex,1.8,1.0,19.3,9963.02,0
8192,10000,CommitWait,567.2,508.5,843.7,9963.02,0
8192,10000,residual,21.5,18.5,51.4,9963.02,0
16384,10000,Total,1111.2,1136.0,1518.0,13189.12,0
16384,10000,LHandler,20.6,11.5,68.2,13189.12,0
16384,10000,LPersist,248.4,236.4,371.5,13189.12,0
16384,10000,AENet,83.6,69.2,212.3,13189.12,0
16384,10000,FHandler,4.2,2.8,26.5,13189.12,0
16384,10000,ReplNet,253.4,262.5,362.4,13189.12,0
16384,10000,StorageIO,180.9,176.9,240.9,13189.12,0
16384,10000,QuorumWait,297.4,308.3,482.0,13189.12,0
16384,10000,Mutex,2.3,1.1,23.3,13189.12,0
16384,10000,CommitWait,716.5,738.5,1034.3,13189.12,0
16384,10000,residual,22.6,20.3,58.9,13189.12,0
32768,10000,Total,1417.4,1423.1,1885.1,16946.78,0
32768,10000,LHandler,74.8,88.4,162.3,16946.78,0
32768,10000,LPersist,317.0,307.1,415.7,16946.78,0
32768,10000,AENet,169.8,171.5,316.0,16946.78,0
32768,10000,FHandler,6.0,6.0,29.9,16946.78,0
32768,10000,ReplNet,294.1,298.7,451.1,16946.78,0
32768,10000,StorageIO,206.3,200.5,289.2,16946.78,0
32768,10000,QuorumWait,326.3,328.4,517.9,16946.78,0
32768,10000,Mutex,4.4,1.2,19.1,16946.78,0
32768,10000,CommitWait,884.4,923.2,1285.9,16946.78,0
32768,10000,residual,23.1,14.2,48.5,16946.78,0
65536,10000,Total,1620.9,1647.8,1965.0,19811.88,0
65536,10000,LHandler,133.7,157.8,194.9,19811.88,0
65536,10000,LPersist,391.0,385.0,493.5,19811.88,0
65536,10000,AENet,185.3,189.4,312.3,19811.88,0
65536,10000,FHandler,7.3,5.7,29.7,19811.88,0
65536,10000,ReplNet,307.7,305.9,453.7,19811.88,0
65536,10000,StorageIO,253.1,252.3,340.2,19811.88,0
65536,10000,QuorumWait,320.6,329.8,504.8,19811.88,0
65536,10000,Mutex,2.6,1.2,20.6,19811.88,0
65536,10000,CommitWait,951.0,998.3,1291.1,19811.88,0
65536,10000,residual,22.2,14.1,54.7,19811.88,0
131072,10000,Total,2024.2,2032.7,2469.8,25999.15,0
131072,10000,LHandler,160.9,90.4,340.0,25999.15,0
131072,10000,LPersist,566.6,577.7,654.9,25999.15,0
131072,10000,AENet,215.7,209.9,322.5,25999.15,0
131072,10000,FHandler,7.5,6.6,30.2,25999.15,0
131072,10000,ReplNet,384.6,395.4,508.8,25999.15,0
131072,10000,StorageIO,350.1,346.5,481.0,25999.15,0
131072,10000,QuorumWait,316.8,315.0,514.7,25999.15,0
131072,10000,Mutex,2.4,1.3,22.3,25999.15,0
131072,10000,CommitWait,1139.2,1101.8,1400.6,25999.15,0
131072,10000,residual,22.0,14.3,71.2,25999.15,0
