leader: 10.0.0.5:6001 (probe applied 1 command)
  batch=1 total=1984.5us LHandler=125.9 LPersist=596.7 AENet=268.8 FHandler=33.9 ReplNet=326.6 StorageIO=345.6 QuorumWait=277.3 Mutex=1.7 CommitWait=1156.5
  batch=1 total=1938.7us LHandler=61.3 LPersist=597.3 AENet=90.1 FHandler=4.0 ReplNet=385.5 StorageIO=330.4 QuorumWait=460.0 Mutex=1.4 CommitWait=1137.6
  batch=1 total=2067.1us LHandler=75.5 LPersist=543.0 AENet=241.6 FHandler=3.1 ReplNet=309.0 StorageIO=473.0 QuorumWait=411.2 Mutex=1.6 CommitWait=1348.6
  batch=1 total=1861.0us LHandler=60.8 LPersist=594.6 AENet=138.8 FHandler=2.1 ReplNet=294.3 StorageIO=317.0 QuorumWait=442.8 Mutex=1.5 CommitWait=1063.1
  batch=1 total=1799.8us LHandler=73.2 LPersist=556.7 AENet=153.7 FHandler=7.1 ReplNet=391.9 StorageIO=305.6 QuorumWait=302.1 Mutex=1.2 CommitWait=1071.6
  batch=1 total=1969.2us LHandler=60.7 LPersist=448.5 AENet=263.7 FHandler=7.1 ReplNet=445.6 StorageIO=384.0 QuorumWait=332.0 Mutex=3.6 CommitWait=1353.3
  batch=1 total=1930.5us LHandler=62.8 LPersist=627.9 AENet=213.2 FHandler=7.0 ReplNet=446.5 StorageIO=336.4 QuorumWait=226.2 Mutex=1.4 CommitWait=1083.9
  batch=1 total=1923.9us LHandler=61.8 LPersist=607.1 AENet=168.5 FHandler=7.1 ReplNet=405.4 StorageIO=323.6 QuorumWait=340.6 Mutex=1.4 CommitWait=1145.1
  batch=1 total=1821.4us LHandler=63.1 LPersist=493.2 AENet=247.1 FHandler=7.0 ReplNet=398.6 StorageIO=337.4 QuorumWait=259.3 Mutex=5.2 CommitWait=1108.5
  batch=1 total=1785.7us LHandler=73.0 LPersist=518.4 AENet=198.9 FHandler=7.1 ReplNet=380.0 StorageIO=297.0 QuorumWait=300.5 Mutex=1.2 CommitWait=1087.0
  batch=1 total=1653.5us LHandler=80.5 LPersist=439.4 AENet=169.5 FHandler=4.5 ReplNet=314.6 StorageIO=343.9 QuorumWait=290.4 Mutex=1.3 CommitWait=1022.5
  batch=1 total=2000.1us LHandler=62.8 LPersist=469.9 AENet=245.9 FHandler=7.1 ReplNet=386.9 StorageIO=328.2 QuorumWait=488.6 Mutex=1.5 CommitWait=1318.1
  batch=1 total=1963.8us LHandler=75.2 LPersist=442.2 AENet=202.6 FHandler=7.0 ReplNet=453.3 StorageIO=360.2 QuorumWait=412.1 Mutex=1.2 CommitWait=1325.8
  batch=1 total=1916.1us LHandler=64.9 LPersist=415.8 AENet=270.5 FHandler=7.0 ReplNet=403.8 StorageIO=365.7 QuorumWait=377.7 Mutex=1.5 CommitWait=1318.6
  batch=1 total=2102.4us LHandler=68.9 LPersist=594.1 AENet=202.3 FHandler=7.1 ReplNet=436.1 StorageIO=356.3 QuorumWait=425.5 Mutex=1.5 CommitWait=1295.5
  batch=1 total=2005.7us LHandler=74.1 LPersist=523.2 AENet=266.2 FHandler=7.2 ReplNet=384.4 StorageIO=301.6 QuorumWait=434.0 Mutex=1.8 CommitWait=1262.6
  batch=1 total=2106.4us LHandler=73.5 LPersist=563.6 AENet=261.8 FHandler=7.1 ReplNet=441.9 StorageIO=318.2 QuorumWait=427.5 Mutex=1.5 CommitWait=1336.7
  batch=1 total=2138.3us LHandler=70.1 LPersist=560.3 AENet=207.5 FHandler=7.0 ReplNet=439.2 StorageIO=364.1 QuorumWait=475.8 Mutex=12.4 CommitWait=1358.7
  batch=1 total=1842.5us LHandler=68.5 LPersist=563.0 AENet=191.0 FHandler=6.6 ReplNet=285.3 StorageIO=298.6 QuorumWait=417.4 Mutex=1.6 CommitWait=1054.7
  batch=1 total=1779.3us LHandler=69.8 LPersist=560.1 AENet=145.4 FHandler=22.6 ReplNet=392.4 StorageIO=275.5 QuorumWait=273.8 Mutex=1.5 CommitWait=969.3
  batch=1 total=1678.6us LHandler=69.5 LPersist=432.9 AENet=274.9 FHandler=5.8 ReplNet=231.5 StorageIO=374.9 QuorumWait=278.3 Mutex=1.2 CommitWait=1060.1
  batch=1 total=2054.7us LHandler=69.5 LPersist=567.2 AENet=227.9 FHandler=4.2 ReplNet=328.6 StorageIO=338.2 QuorumWait=504.7 Mutex=1.3 CommitWait=1237.5
  batch=1 total=2196.9us LHandler=95.0 LPersist=567.7 AENet=268.7 FHandler=7.1 ReplNet=361.8 StorageIO=354.7 QuorumWait=528.3 Mutex=28.6 CommitWait=1374.8
  batch=1 total=2091.5us LHandler=74.4 LPersist=562.8 AENet=212.2 FHandler=7.0 ReplNet=412.6 StorageIO=349.6 QuorumWait=457.7 Mutex=1.5 CommitWait=1300.5
  batch=1 total=1864.8us LHandler=72.9 LPersist=567.2 AENet=210.1 FHandler=7.1 ReplNet=410.3 StorageIO=386.6 QuorumWait=178.2 Mutex=1.6 CommitWait=1060.2
  batch=1 total=1673.6us LHandler=72.4 LPersist=456.2 AENet=191.0 FHandler=7.0 ReplNet=405.7 StorageIO=316.9 QuorumWait=193.7 Mutex=1.1 CommitWait=997.6
  batch=1 total=2091.3us LHandler=72.3 LPersist=550.3 AENet=262.6 FHandler=7.0 ReplNet=422.6 StorageIO=384.6 QuorumWait=379.1 Mutex=1.4 CommitWait=1344.8
  batch=1 total=2067.7us LHandler=74.5 LPersist=571.1 AENet=266.3 FHandler=7.0 ReplNet=404.5 StorageIO=353.9 QuorumWait=377.7 Mutex=1.5 CommitWait=1279.7
  batch=1 total=1872.6us LHandler=77.2 LPersist=565.4 AENet=196.1 FHandler=7.0 ReplNet=442.2 StorageIO=342.3 QuorumWait=211.2 Mutex=1.5 CommitWait=1068.0
  batch=1 total=2002.1us LHandler=90.1 LPersist=494.8 AENet=247.1 FHandler=36.7 ReplNet=453.0 StorageIO=378.1 QuorumWait=263.5 Mutex=1.2 CommitWait=1257.1
  batch=1 total=1925.0us LHandler=72.6 LPersist=443.5 AENet=243.9 FHandler=6.3 ReplNet=395.9 StorageIO=338.6 QuorumWait=394.8 Mutex=29.2 CommitWait=1266.7
  batch=1 total=2016.5us LHandler=70.0 LPersist=491.8 AENet=237.8 FHandler=7.1 ReplNet=402.1 StorageIO=348.5 QuorumWait=446.9 Mutex=1.1 CommitWait=1325.8
  batch=1 total=1918.8us LHandler=76.3 LPersist=594.5 AENet=209.7 FHandler=7.1 ReplNet=427.4 StorageIO=305.1 QuorumWait=286.7 Mutex=1.6 CommitWait=1102.7
  batch=1 total=1914.9us LHandler=75.0 LPersist=576.2 AENet=267.1 FHandler=7.0 ReplNet=377.5 StorageIO=346.5 QuorumWait=251.8 Mutex=1.4 CommitWait=1115.1
  batch=1 total=1797.2us LHandler=77.2 LPersist=567.6 AENet=155.2 FHandler=7.0 ReplNet=442.2 StorageIO=298.9 QuorumWait=213.8 Mutex=1.3 CommitWait=984.1
  batch=1 total=1919.9us LHandler=69.6 LPersist=438.6 AENet=263.0 FHandler=7.6 ReplNet=374.4 StorageIO=332.4 QuorumWait=398.7 Mutex=1.5 CommitWait=1228.5
  batch=1 total=2063.0us LHandler=72.4 LPersist=541.8 AENet=185.1 FHandler=7.2 ReplNet=441.7 StorageIO=411.4 QuorumWait=390.6 Mutex=1.2 CommitWait=1324.4
  batch=1 total=2153.7us LHandler=74.5 LPersist=603.5 AENet=235.2 FHandler=7.0 ReplNet=427.4 StorageIO=339.8 QuorumWait=452.9 Mutex=1.7 CommitWait=1308.7
  batch=1 total=2125.3us LHandler=94.6 LPersist=561.0 AENet=239.8 FHandler=7.0 ReplNet=444.5 StorageIO=310.6 QuorumWait=452.8 Mutex=1.3 CommitWait=1319.3
